song_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels
105,0.421,0.66,0.0407,0.152,0.444,0.0948,0.512,119.46,8
106,0.376,0.695,0.0933,0.135,0.0,0.11,0.302,169.533,6
107,0.653,0.845,0.0352,0.219,0.0,0.921,0.552,123.086,8
108,0.216,0.544,0.0431,0.663,0.0,0.882,0.301,75.017,9
109,0.783,0.435,0.0588,0.282,0.0,0.0833,0.512,106.974,1
110,0.783,0.67,0.0432,0.199,0.0,0.274,0.842,106.05,1
111,0.726,0.431,0.135,0.731,0.0,0.696,0.348,144.026,7
112,0.571,0.714,0.0303,0.08,0.0,0.478,0.741,122.955,8
113,0.648,0.72,0.05,0.00266,0.0,0.0717,0.594,108.012,1
114,0.937,0.98,0.0473,0.0566,0.000373,0.0273,0.939,122.007,8
115,0.839,0.706,0.199,0.208,0.0,0.242,0.839,96.673,5
116,0.852,0.591,0.0675,0.103,0.421,0.0468,0.826,115.592,8
117,0.702,0.588,0.0321,0.0805,0.0193,0.184,0.728,121.738,8
118,0.557,0.38,0.0259,0.776,0.0667,0.0989,0.569,99.83,5
119,0.753,0.834,0.115,0.212,2.93e-05,0.259,0.852,131.909,2
120,0.52,0.363,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,2
121,0.442,0.596,0.0281,0.037,4.46e-06,0.172,0.497,83.414,3
122,0.7,0.465,0.358,0.544,0.0,0.606,0.719,108.102,1
123,0.542,0.444,0.0295,0.212,0.0519,0.102,0.827,171.719,6
124,0.715,0.733,0.262,0.134,0.0,0.157,0.897,87.665,3
125,0.706,0.719,0.0573,0.00706,0.0,0.0377,0.495,126.112,2
126,0.553,0.843,0.0489,0.00307,0.0,0.0818,0.834,177.113,6
127,0.689,0.481,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,9
128,0.744,0.697,0.0631,0.039,0.0,0.171,0.683,119.955,8
129,0.449,0.599,0.0369,0.211,0.0,0.327,0.165,134.144,7
130,0.379,0.494,0.0271,0.685,6.33e-06,0.204,0.231,142.342,7
131,0.805,0.558,0.041,0.164,2.2e-05,0.0546,0.965,114.95,8
132,0.801,0.961,0.0604,0.00765,7.7e-05,0.0639,0.909,120.378,8
133,0.529,0.127,0.0274,0.611,0.000109,0.237,0.578,63.05,9
134,0.56,0.825,0.0347,0.000785,0.00246,0.0892,0.74,142.669,7
135,0.731,0.355,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72,6
136,0.643,0.765,0.0933,0.00157,0.00977,0.169,0.868,137.979,7
137,0.398,0.927,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,9
138,0.591,0.935,0.0478,0.000284,0.000278,0.142,0.736,140.043,7
139,0.662,0.71,0.0364,0.0603,0.0,0.119,0.465,121.979,8
140,0.254,0.761,0.0472,0.0006,0.0004,0.265,0.412,118.752,8
141,0.867,0.714,0.0662,0.0224,0.704,0.104,0.623,123.974,2
142,0.761,0.484,0.0381,0.366,2.81e-05,0.189,0.826,110.45,1
143,0.773,0.721,0.0294,0.232,1.61e-05,0.0349,0.971,110.383,1
144,0.558,0.268,0.0299,0.791,0.00488,0.0863,0.432,84.559,3
145,0.709,0.869,0.124,0.103,0.0,0.0769,0.773,99.906,5
146,0.661,0.651,0.0499,0.117,1.32e-05,0.056,0.368,87.46,3
147,0.612,0.84,0.0509,0.112,0.0,0.116,0.438,129.042,2
148,0.551,0.882,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,6
149,0.498,0.634,0.0288,0.166,0.0,0.3,0.36,144.104,7
150,0.334,0.557,0.0496,0.155,1.66e-06,0.106,0.362,197.622,0
151,0.631,0.796,0.0401,0.000245,0.0115,0.38,0.596,92.469,3
152,0.663,0.777,0.109,0.277,0.0,0.0466,0.758,92.681,3
153,0.69,0.883,0.322,0.0103,0.0,0.344,0.642,123.123,8
154,0.653,0.666,0.0249,0.0508,0.0466,0.139,0.765,128.505,2
155,0.654,0.417,0.025,0.0624,0.0,0.0963,0.279,143.676,7
156,0.768,0.815,0.0355,0.175,0.0,0.065,0.907,125.393,2
157,0.757,0.905,0.0338,0.00254,0.0012,0.0357,0.621,125.002,2
158,0.569,0.472,0.0313,0.536,1.44e-05,0.1,0.346,145.513,7
159,0.66,0.805,0.153,0.0192,8.83e-06,0.159,0.625,103.008,1
160,0.32,0.426,0.0644,0.0044,0.000319,0.64,0.429,175.895,6
161,0.384,0.921,0.055,0.0948,0.0,0.168,0.471,89.922,3
162,0.571,0.636,0.0305,0.0222,0.0,0.0748,0.96,145.241,7
163,0.681,0.889,0.0374,0.164,0.0,0.207,0.833,123.661,2
164,0.665,0.847,0.0535,0.0178,0.00288,0.126,0.4,119.555,8
165,0.799,0.314,0.512,0.164,0.0,0.158,0.842,166.064,6
166,0.405,0.517,0.0274,0.68,0.0,0.0918,0.325,102.678,5
167,0.724,0.804,0.0502,0.0559,0.0895,0.214,0.437,141.86,7
168,0.701,0.261,0.0938,0.219,0.0,0.0821,0.89,97.042,5
169,0.633,0.564,0.0701,0.135,0.0,0.201,0.648,164.008,6
170,0.507,0.833,0.035,0.0351,0.0,0.259,0.649,95.978,5
171,0.802,0.962,0.0415,0.00363,0.0794,0.312,0.966,127.035,2
172,0.613,0.72,0.0425,0.0132,0.0,0.104,0.561,117.341,8
173,0.604,0.622,0.0469,0.0943,0.00577,0.204,0.424,126.238,2
174,0.617,0.439,0.0269,0.424,0.0,0.127,0.242,139.979,7
175,0.497,0.883,0.0689,0.0365,0.0,0.927,0.61,101.994,5
176,0.791,0.702,0.0623,0.0174,0.0,0.423,0.789,103.646,1
177,0.444,0.757,0.0541,0.699,0.0,0.329,0.554,154.26,4
178,0.569,0.428,0.0292,0.457,5.08e-06,0.105,0.617,113.168,1
179,0.664,0.316,0.519,0.298,2.03e-06,0.0812,0.541,92.875,3
180,0.747,0.701,0.0429,0.108,0.0,0.0712,0.589,100.012,5
181,0.704,0.557,0.0316,0.175,0.00231,0.0631,0.777,113.194,1
182,0.704,0.634,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,8
183,0.696,0.699,0.0468,0.0374,0.00108,0.0485,0.967,127.988,2
184,0.368,0.858,0.246,0.093,0.00267,0.0986,0.542,175.7,6
185,0.805,0.942,0.0905,0.0745,1.46e-05,0.415,0.608,106.525,1
186,0.35,0.775,0.0417,0.00121,6.85e-05,0.198,0.467,148.982,4
187,0.692,0.413,0.0422,0.118,0.0,0.305,0.744,121.77,8
188,0.803,0.851,0.0357,0.00485,0.000358,0.0577,0.881,113.996,8
189,0.605,0.813,0.0448,0.00702,0.114,0.145,0.238,167.997,6
190,0.672,0.593,0.0304,0.0223,0.0,0.214,0.438,98.02,5
191,0.748,0.939,0.0341,0.0534,0.0,0.32,0.96,104.001,1
192,0.6,0.657,0.0336,0.503,0.00013,0.0816,0.678,75.331,9
193,0.61,0.78,0.0316,0.0212,0.0,0.309,0.841,109.856,1
194,0.429,0.671,0.446,0.0497,0.0,0.265,0.684,198.709,0
195,0.43,0.428,0.031,0.528,0.0,0.12,0.155,125.218,2
196,0.739,0.709,0.068,0.00356,0.0,0.0848,0.558,81.001,9
197,0.649,0.718,0.0594,0.00676,4.26e-06,0.174,0.477,79.993,9
198,0.586,0.928,0.0463,0.141,0.0,0.655,0.4,115.006,8
199,0.249,0.46,0.0406,0.755,0.0,0.395,0.462,82.495,3
200,0.423,0.92,0.039,0.000675,5.99e-06,0.187,0.26,126.51,2
201,0.374,0.772,0.271,0.104,0.0,0.111,0.637,159.149,4
202,0.52,0.513,0.0256,0.281,0.0,0.0976,0.17,77.903,9
203,0.607,0.488,0.0311,0.42,0.0,0.0609,0.838,124.601,2
204,0.723,0.809,0.0625,0.00346,0.00123,0.565,0.274,98.007,5
205,0.366,0.791,0.0423,0.018,0.0,0.153,0.398,76.057,9
206,0.716,0.85,0.0426,0.0631,0.00133,0.189,0.821,125.474,2
207,0.627,0.768,0.0625,0.468,0.0,0.126,0.802,100.071,5
208,0.723,0.722,0.0428,0.0184,0.0106,0.0665,0.917,95.262,5
209,0.568,0.367,0.0256,0.801,1.67e-05,0.059,0.383,94.096,5
210,0.762,0.7,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,8
211,0.631,0.426,0.0356,0.521,0.000258,0.512,0.781,126.156,2
212,0.789,0.625,0.041,0.00555,9.68e-06,0.069,0.902,131.005,2
213,0.707,0.681,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,8
214,0.719,0.78,0.0465,0.167,0.044,0.104,0.461,124.04,2
215,0.613,0.622,0.0334,0.00882,0.0,0.37,0.484,80.003,9
216,0.737,0.846,0.22,0.00614,0.0,0.0486,0.546,87.981,3
217,0.452,0.876,0.0518,0.0501,1.58e-05,0.309,0.275,125.994,2
218,0.432,0.868,0.0882,0.00725,0.0,0.233,0.567,156.128,4
219,0.524,0.417,0.0276,0.568,0.0389,0.15,0.549,95.116,5
220,0.409,0.58,0.0369,0.0174,1.02e-05,0.0415,0.439,100.938,5
221,0.598,0.427,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,9
222,0.755,0.832,0.116,0.0746,1.27e-06,0.291,0.735,120.032,8
223,0.706,0.589,0.08,0.353,0.0,0.105,0.399,90.491,3
224,0.552,0.608,0.0345,0.352,0.0,0.0533,0.637,112.367,1
225,0.697,0.816,0.0316,0.00124,0.00117,0.252,0.751,102.981,1
226,0.674,0.686,0.0597,0.29,0.00322,0.189,0.814,124.204,2
227,0.404,0.185,0.0512,0.891,0.0,0.103,0.147,75.342,9
228,0.329,0.356,0.0309,0.03,2.68e-06,0.135,0.531,161.436,4
229,0.802,0.82,0.0334,0.224,0.0,0.298,0.977,128.954,2
230,0.706,0.92,0.0451,0.0105,3.85e-06,0.171,0.786,119.972,8
231,0.519,0.874,0.034,0.0524,0.0,0.243,0.572,96.072,5
232,0.594,0.676,0.0528,0.0267,0.00541,0.905,0.898,110.71,1
233,0.729,0.844,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,2
234,0.533,0.783,0.0366,0.0116,0.0565,0.186,0.726,124.874,2
235,0.638,0.937,0.0444,0.0942,0.0,0.327,0.762,100.03,5
236,0.534,0.269,0.0359,0.715,3.24e-06,0.11,0.499,108.886,1
237,0.516,0.922,0.0704,0.0213,1.3e-05,0.158,0.456,99.086,5
238,0.667,0.412,0.0353,0.817,0.0,0.107,0.82,83.816,3
239,0.866,0.762,0.207,0.0712,0.000116,0.148,0.662,88.972,3
240,0.818,0.713,0.0375,0.126,3.2e-05,0.0382,0.937,137.969,7
241,0.545,0.485,0.0485,0.537,1.8e-06,0.104,0.101,80.948,9
242,0.4,0.641,0.0674,0.214,0.0,0.0656,0.393,81.552,9
243,0.895,0.795,0.0977,0.0219,0.0,0.0403,0.574,105.004,1
244,0.514,0.898,0.0577,0.00488,0.0345,0.0746,0.353,123.067,8
245,0.789,0.634,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,8
246,0.649,0.82,0.0353,0.0471,0.0,0.0816,0.702,144.226,7
247,0.653,0.806,0.0311,0.00398,0.00455,0.0927,0.386,125.641,2
249,0.667,0.621,0.035,9.31e-05,4.33e-05,0.0572,0.492,111.996,1
250,0.446,0.489,0.033,0.272,0.0,0.16,0.396,137.829,7
251,0.608,0.751,0.0408,0.0779,0.00143,0.321,0.59,124.028,2
252,0.483,0.321,0.0281,0.845,1.58e-05,0.348,0.404,107.728,1
253,0.393,0.362,0.0305,0.599,0.0,0.333,0.515,107.743,1
254,0.527,0.429,0.0321,0.655,0.0,0.0865,0.277,97.893,5
255,0.415,0.713,0.0278,0.251,0.00197,0.289,0.579,125.056,2
256,0.765,0.831,0.0565,0.0894,0.0,0.393,0.809,100.026,5
257,0.573,0.941,0.0315,0.0013,4.06e-05,0.18,0.864,135.017,7
258,0.767,0.756,0.0287,0.0643,7.88e-06,0.256,0.934,113.906,8
259,0.502,0.765,0.0476,0.0138,0.0,0.515,0.805,162.097,4
260,0.607,0.878,0.0665,0.000246,0.0,0.337,0.853,119.955,8
261,0.797,0.608,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,2
262,0.553,0.946,0.0383,0.00106,0.000655,0.368,0.458,135.977,7
263,0.745,0.72,0.048,0.0877,0.874,0.117,0.919,144.982,7
264,0.604,0.105,0.0357,0.977,0.0,0.0993,0.553,92.238,3
265,0.559,0.504,0.0246,0.106,0.0,0.13,0.479,89.051,3
266,0.689,0.811,0.0264,0.00288,0.0,0.207,0.47,123.008,8
267,0.33,0.494,0.0278,0.147,4.94e-06,0.137,0.143,98.478,5
268,0.652,0.557,0.0318,0.74,0.0,0.124,0.483,150.073,4
269,0.671,0.539,0.0392,0.18,0.0,0.0748,0.934,94.98,5
270,0.223,0.0497,0.0351,0.967,0.000258,0.222,0.1,86.659,3
271,0.645,0.379,0.0295,0.81,1.76e-06,0.124,0.278,130.836,2
272,0.666,0.919,0.0293,0.00164,0.00042,0.106,0.528,115.051,8
273,0.43,0.685,0.0853,0.1,0.0,0.119,0.308,84.838,3
274,0.5,0.593,0.0307,0.689,0.0368,0.06,0.475,138.245,7
275,0.482,0.808,0.065,0.0562,0.0,0.202,0.438,79.599,9
276,0.635,0.841,0.0422,0.0134,0.0,0.0622,0.424,109.021,1
277,0.707,0.924,0.031,0.000972,0.00703,0.204,0.919,127.937,2
278,0.52,0.448,0.0316,0.21,0.0,0.0719,0.663,113.472,8
279,0.462,0.277,0.0315,0.749,7.56e-06,0.409,0.388,131.001,2
280,0.535,0.716,0.0431,0.326,0.0,0.659,0.901,94.379,5
281,0.633,0.748,0.0664,0.172,0.0,0.38,0.497,142.575,7
282,0.429,0.793,0.0353,0.0693,0.0,0.108,0.24,72.985,9
283,0.594,0.878,0.0399,0.064,5.18e-05,0.184,0.774,127.945,2
284,0.564,0.983,0.0421,0.013,0.00661,0.344,0.418,144.985,7
285,0.581,0.514,0.0652,0.31,0.00701,0.376,0.69,89.026,3
286,0.611,0.638,0.0409,0.431,0.0,0.104,0.424,169.92,6
287,0.612,0.675,0.0398,0.0234,1e-05,0.0471,0.883,150.058,4
288,0.653,0.239,0.0453,0.806,0.0146,0.132,0.765,80.392,9
289,0.591,0.808,0.288,0.0869,0.00396,0.147,0.337,92.864,3
290,0.377,0.658,0.0318,0.117,0.0,0.0677,0.307,143.713,7
291,0.606,0.826,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,8
292,0.376,0.199,0.0288,0.535,0.0,0.598,0.247,98.97,5
293,0.506,0.849,0.0431,0.00676,5.65e-06,0.329,0.319,129.935,2
294,0.647,0.694,0.0284,0.0364,0.0,0.0776,0.694,121.975,8
295,0.421,0.98,0.0887,0.0727,0.0,0.459,0.509,139.36,7
296,0.637,0.811,0.0583,0.363,0.00451,0.107,0.552,112.053,1
297,0.463,0.621,0.0291,0.189,0.0,0.086,0.218,140.647,7
298,0.646,0.82,0.0286,0.102,0.00183,0.037,0.712,122.43,8
299,0.234,0.865,0.0516,3.62e-05,0.000532,0.289,0.194,137.107,7
300,0.679,0.808,0.0333,0.0305,0.00125,0.105,0.88,130.018,2
301,0.704,0.793,0.0591,0.0488,0.0,0.575,0.412,127.96,2
302,0.668,0.802,0.0917,0.0273,0.0,0.163,0.769,113.796,8
303,0.593,0.765,0.0385,0.503,3.91e-06,0.667,0.801,121.844,8
304,0.605,0.822,0.0438,0.00671,0.134,0.147,0.288,167.997,6
305,0.585,0.776,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,9
306,0.698,0.932,0.0503,0.0233,0.000261,0.399,0.836,150.02,4
307,0.854,0.71,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,1
308,0.45,0.977,0.0691,0.000442,0.000114,0.362,0.395,135.904,7
309,0.737,0.867,0.0458,0.0398,0.0,0.32,0.506,98.05,5
310,0.214,0.947,0.0507,0.000552,0.00352,0.238,0.483,170.616,6
311,0.798,0.655,0.0387,0.381,1.09e-06,0.477,0.828,111.98,1
312,0.779,0.787,0.108,0.0524,0.0,0.14,0.708,124.982,2
313,0.632,0.631,0.0592,0.000219,3.05e-05,0.162,0.312,79.021,9
314,0.577,0.676,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,5
315,0.737,0.93,0.0534,0.237,1.57e-06,0.0911,0.965,103.191,1
316,0.323,0.127,0.0321,0.841,0.00413,0.117,0.394,92.637,3
317,0.723,0.809,0.0625,0.00346,0.00123,0.565,0.274,98.007,5
318,0.577,0.94,0.0361,2.42e-05,0.0715,0.347,0.818,116.045,8
319,0.908,0.557,0.107,0.242,0.0,0.0709,0.897,90.032,3
320,0.555,0.644,0.0367,0.42,0.0,0.0751,0.417,144.202,7
321,0.682,0.836,0.0424,0.0464,3.13e-06,0.0797,0.486,104.984,1
322,0.536,0.351,0.0266,0.762,0.0,0.22,0.532,106.73,1
323,0.67,0.558,0.0251,0.238,0.0,0.106,0.63,80.511,9
324,0.494,0.672,0.0405,0.0273,0.0,0.105,0.557,156.208,4
325,0.623,0.68,0.0282,0.0056,0.000425,0.148,0.737,129.713,2
326,0.896,0.586,0.0559,0.104,0.0,0.79,0.642,116.971,8
327,0.604,0.742,0.0459,0.0611,6.13e-06,0.259,0.923,163.861,6
328,0.423,0.464,0.0273,0.308,0.000161,0.117,0.255,144.954,7
329,0.768,0.881,0.113,0.0188,3.65e-06,0.298,0.502,99.98,5
330,0.727,0.937,0.286,0.00417,0.0,0.091,0.749,132.067,2
331,0.716,0.736,0.0363,0.336,1.4e-05,0.137,0.542,104.018,1
332,0.727,0.552,0.14,0.227,0.000164,0.198,0.607,168.189,6
333,0.538,0.428,0.0248,0.321,0.0,0.103,0.181,97.949,5
334,0.528,0.965,0.0465,0.141,0.985,0.0797,0.587,136.065,7
335,0.652,0.61,0.0636,0.45,0.0,0.576,0.612,145.964,7
336,0.254,0.238,0.0303,0.588,0.0535,0.0772,0.0809,84.126,3
337,0.48,0.542,0.0428,0.803,0.0,0.147,0.614,118.301,8
338,0.59,0.737,0.0384,0.404,0.0,0.108,0.877,132.966,2
339,0.437,0.938,0.152,0.000913,0.0,0.116,0.734,201.97,0
340,0.683,0.739,0.0495,4.91e-05,0.0122,0.293,0.836,122.113,8
341,0.781,0.722,0.0667,0.236,0.000398,0.077,0.533,87.858,3
342,0.641,0.722,0.082,0.323,0.0,0.104,0.716,93.992,5
343,0.741,0.647,0.0427,0.108,0.00139,0.0555,0.804,131.097,2
344,0.55,0.428,0.0286,0.368,0.0,0.166,0.551,120.252,8
345,0.837,0.954,0.0414,0.0933,0.000405,0.143,0.972,127.019,2
346,0.501,0.812,0.0375,0.133,8.39e-06,0.324,0.603,149.86,4
347,0.438,0.634,0.0346,0.439,4.35e-06,0.0577,0.331,135.033,7
348,0.471,0.797,0.0389,0.000179,6.49e-06,0.299,0.497,152.903,4
349,0.356,0.261,0.0315,0.689,0.0,0.112,0.279,128.551,2
350,0.632,0.781,0.0289,0.0489,1.76e-05,0.165,0.618,123.476,8
351,0.533,0.906,0.0381,0.2,0.0015,0.493,0.638,121.669,8
352,0.725,0.259,0.0382,0.843,2.63e-06,0.112,0.2,133.849,7
353,0.261,0.964,0.0638,0.00141,2.87e-05,0.183,0.326,162.902,6
354,0.546,0.931,0.0507,0.0295,1.67e-05,0.366,0.527,120.01,8
355,0.757,0.884,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,8
356,0.518,0.575,0.0302,0.0259,0.0,0.109,0.209,120.019,8
357,0.589,0.688,0.0301,0.289,3.59e-06,0.139,0.453,95.902,5
358,0.693,0.822,0.102,0.0995,1.73e-05,0.061,0.765,121.969,8
